state,city,station_count,valid_station_count,mean_aqi,max_aqi,severe_station_count,very_poor_station_count,poor_station_count,city_risk_level,data_quality
Odisha,Keonjhar,1,1,406.6,406.6,1,0,0,Severe,Valid station data available
Odisha,Rairangpur,1,1,271.3,271.3,0,0,1,Poor,Valid station data available
Odisha,Rourkela,3,3,356.32,456.42,1,2,0,Very Poor,Valid station data available
Odisha,Suakati,1,1,174.94,174.94,0,0,0,Moderate,Valid station data available
Odisha,Talcher,1,1,353.14,353.14,0,1,0,Very Poor,Valid station data available
Odisha,Tensa,1,1,55.0,55.0,0,0,0,Satisfactory,Valid station data available
Puducherry,Puducherry,1,1,285.65,285.65,0,0,1,Poor,Valid station data available
Punjab,Amritsar,1,1,370.71,370.71,0,1,0,Very Poor,Valid station data available
Punjab,Bathinda,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Punjab,Jalandhar,1,1,443.96,443.96,1,0,0,Severe,Valid station data available
Punjab,Khanna,1,1,468.87,468.87,1,0,0,Severe,Valid station data available
Punjab,Ludhiana,1,1,347.28,347.28,0,1,0,Very Poor,Valid station data available
Punjab,Mandi Gobindgarh,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Punjab,Patiala,1,1,358.99,358.99,0,1,0,Very Poor,Valid station data available
Punjab,Rupnagar,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Rajasthan,Ajmer,1,1,300.0,300.0,0,0,1,Poor,Valid station data available
Rajasthan,Alwar,1,1,347.28,347.28,0,1,0,Very Poor,Valid station data available
Rajasthan,Banswara,1,1,187.47,187.47,0,0,0,Moderate,Valid station data available
Rajasthan,Baran,1,1,412.83,412.83,1,0,0,Severe,Valid station data available
Rajasthan,Barmer,1,1,200.0,200.0,0,0,0,Moderate,Valid station data available
Rajasthan,Bharatpur,1,1,228.26,228.26,0,0,1,Poor,Valid station data available
Rajasthan,Bhilwara,1,1,425.28,425.28,1,0,0,Severe,Valid station data available
Rajasthan,Bhiwadi,2,2,332.42,364.85,0,1,1,Very Poor,Valid station data available
Rajasthan,Bikaner,1,1,256.96,256.96,0,0,1,Poor,Valid station data available
Rajasthan,Bundi,1,1,256.96,256.96,0,0,1,Poor,Valid station data available
Rajasthan,Chittorgarh,1,1,137.34,137.34,0,0,0,Moderate,Valid station data available
Rajasthan,Churu,1,1,312.13,312.13,0,1,0,Very Poor,Valid station data available
Rajasthan,Dausa,1,1,431.51,431.51,1,0,0,Severe,Valid station data available
Rajasthan,Dholpur,1,1,323.85,323.85,0,1,0,Very Poor,Valid station data available
Rajasthan,Dungarpur,1,1,376.57,376.57,0,1,0,Very Poor,Valid station data available
Rajasthan,Hanumangarh,1,1,300.0,300.0,0,0,1,Poor,Valid station data available
Rajasthan,Jaipur,6,6,421.68,500.0,4,2,0,Severe,Valid station data available
Rajasthan,Jaisalmer,1,1,228.26,228.26,0,0,1,Poor,Valid station data available
Rajasthan,Jalore,1,1,256.96,256.96,0,0,1,Poor,Valid station data available
Rajasthan,Jhalawar,1,1,437.74,437.74,1,0,0,Severe,Valid station data available
Rajasthan,Jhunjhunu,1,1,200.0,200.0,0,0,0,Moderate,Valid station data available
Rajasthan,Jodhpur,5,4,282.28,456.42,1,0,2,Poor,Valid station data available
Rajasthan,Karauli,1,1,306.27,306.27,0,1,0,Very Poor,Valid station data available
Rajasthan,Khairthal,1,1,306.27,306.27,0,1,0,Very Poor,Valid station data available
Rajasthan,Kota,3,3,320.64,406.6,1,1,1,Very Poor,Valid station data available
Rajasthan,Nagaur,1,1,306.27,306.27,0,1,0,Very Poor,Valid station data available
Rajasthan,Pali,1,1,370.71,370.71,0,1,0,Very Poor,Valid station data available
Rajasthan,Pratapgarh,1,1,300.0,300.0,0,0,1,Poor,Valid station data available
Rajasthan,Rajsamand,1,1,382.43,382.43,0,1,0,Very Poor,Valid station data available
Rajasthan,Sawai Madhopur,1,1,285.65,285.65,0,0,1,Poor,Valid station data available
Rajasthan,Sikar,1,1,242.61,242.61,0,0,1,Poor,Valid station data available
Rajasthan,Sri Ganganagar,1,1,306.27,306.27,0,1,0,Very Poor,Valid station data available
Rajasthan,Tonk,1,1,388.28,388.28,0,1,0,Very Poor,Valid station data available
Rajasthan,Udaipur,1,1,400.0,400.0,0,1,0,Very Poor,Valid station data available
Sikkim,Gangtok,1,1,124.81,124.81,0,0,0,Moderate,Valid station data available
Tamil Nadu,Chennai,6,6,331.7,500.0,2,2,0,Very Poor,Valid station data available
Tamil Nadu,Coimbatore,1,1,187.47,187.47,0,0,0,Moderate,Valid station data available
Tamil Nadu,Cuddalore,2,1,59.0,59.0,0,0,0,Satisfactory,Valid station data available
Tamil Nadu,Gummidipoondi,1,1,259.03,259.03,0,0,1,Poor,Valid station data available
Tamil Nadu,Madurai,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Tamil Nadu,Thoothukudi,1,1,376.57,376.57,0,1,0,Very Poor,Valid station data available
Telangana,Hyderabad,12,12,301.24,431.51,1,6,3,Very Poor,Valid station data available
Tripura,Agartala,1,1,341.42,341.42,0,1,0,Very Poor,Valid station data available
Uttar Pradesh,Agra,6,6,313.6,341.42,0,4,2,Very Poor,Valid station data available
Uttar Pradesh,Baghpat,1,1,256.96,256.96,0,0,1,Poor,Valid station data available
Uttar Pradesh,Bareilly,2,2,284.54,394.14,0,1,0,Poor,Valid station data available
Uttar Pradesh,Bulandshahr,1,1,388.28,388.28,0,1,0,Very Poor,Valid station data available
Uttar Pradesh,Firozabad,2,2,371.46,419.06,1,1,0,Very Poor,Valid station data available
Uttar Pradesh,Ghaziabad,5,5,456.34,500.0,4,1,0,Severe,Valid station data available
Uttar Pradesh,Gorakhpur,1,1,137.34,137.34,0,0,0,Moderate,Valid station data available
Uttar Pradesh,Greater Noida,2,2,345.18,419.06,1,0,1,Very Poor,Valid station data available
Uttar Pradesh,Hapur,1,1,114.66,114.66,0,0,0,Moderate,Valid station data available
Uttar Pradesh,Jhansi,1,1,174.94,174.94,0,0,0,Moderate,Valid station data available
Uttar Pradesh,Kanpur,3,3,421.86,500.0,2,1,0,Severe,Valid station data available
Uttar Pradesh,Khora,1,1,500.0,500.0,1,0,0,Severe,Valid station data available
Uttar Pradesh,Khurja,1,1,271.3,271.3,0,0,1,Poor,Valid station data available
Uttar Pradesh,Lucknow,6,6,380.95,456.42,2,3,1,Very Poor,Valid station data available
Uttar Pradesh,Mathura,1,1,300.0,300.0,0,0,1,Poor,Valid station data available
Uttar Pradesh,Meerut,4,4,441.95,500.0,3,1,0,Severe,Valid station data available
Uttar Pradesh,Modinagar,1,0,,,0,0,0,Unknown,No valid AQI station after pollutant coverage check
Uttar Pradesh,Moradabad,6,6,391.84,500.0,3,3,0,Very Poor,Valid station data available
Uttar Pradesh,Muzaffarnagar,1,1,462.64,462.64,1,0,0,Severe,Valid station data available
Uttar Pradesh,Noida,4,4,397.87,487.55,2,1,1,Very Poor,Valid station data available
Uttar Pradesh,Prayagraj,3,3,216.48,256.96,0,0,2,Poor,Valid station data available
